ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,ROI
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,0.4253181513730743,0.44221105527638194,0.3165217391304348,0.6640926640926641,0.33587786259541985,0.27414330218068533,3,8,10,4,7,0,0,0,0,0,0,3,11,1,266.66666666666663
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,0.007367716008037508,0.005025125628140704,0.003478260869565217,0.007722007722007722,0.003816793893129771,0.018691588785046728,2,1,1,2,5,0,0,0,0,0,0,3,11,0,266.66666666666663
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,0.2853315472203617,0.24623115577889448,0.0736231884057971,0.4285714285714286,0.08015267175572519,0.1308411214953271,1,8,2,10,4,0,0,0,0,0,0,3,11,0,266.66666666666663
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,0.007367716008037508,0.020100502512562814,0.011594202898550725,0.03861003861003861,0.011450381679389313,0.01557632398753894,2,2,0,4,6,0,0,0,0,0,0,3,11,0,266.66666666666663
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,0.115874079035499,0.21608040201005024,0.06840579710144927,0.1776061776061776,0.10305343511450381,0.04672897196261682,5,5,3,6,5,0,0,0,0,0,0,3,11,0,266.66666666666663
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,0.348292029470864,0.21105527638190955,0.05681159420289855,0.0,0.16030534351145037,0.04361370716510903,2,6,4,10,6,0,0,0,0,0,0,3,11,0,266.66666666666663
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,0.15740120562625587,0.32663316582914576,0.09507246376811594,0.19305019305019305,0.18702290076335878,0.08411214953271028,4,7,3,7,6,0,0,0,0,0,0,3,11,0,266.66666666666663
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,0.050904219691895514,0.05025125628140704,0.03246376811594203,0.011583011583011584,0.003816793893129771,0.07165109034267912,2,4,0,4,8,0,0,0,0,0,0,3,11,0,266.66666666666663
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,0.009377093101138647,0.0,0.013913043478260868,0.011583011583011584,0.011450381679389313,0.006230529595015576,1,3,0,2,9,0,0,0,0,0,0,3,11,1,266.66666666666663
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,0.018754186202277295,0.0,0.003478260869565217,0.003861003861003861,0.003816793893129771,0.040498442367601244,1,1,0,0,20,1,0,0,0,0,0,3,11,0,266.66666666666663
